,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
23,Upper Division,1.000,10014,Graduate|Professional|Undergraduate,T,Wenjie Cai|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,3:30 pm - 5:20 pm,Class,AAE 33301,003,AAE,Fluid Mechanics Laboratory
24,Upper Division,1.000,10015,Graduate|Professional|Undergraduate,R,Wenjie Cai|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,3:30 pm - 5:20 pm,Class,AAE 33301,004,AAE,Fluid Mechanics Laboratory
25,Upper Division,1.000,10016,Graduate|Professional|Undergraduate,R,Nathan Daniel Ballintyn|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,7:30 am - 9:20 am,Class,AAE 33301,005,AAE,Fluid Mechanics Laboratory
26,Upper Division,1.000,10019,Graduate|Professional|Undergraduate,W,Prashanth Bangalore venkatesh|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,11:30 am - 1:20 pm,Class,AAE 33301,008,AAE,Fluid Mechanics Laboratory
27,Upper Division,1.000,10021,Graduate|Professional|Undergraduate,R,Nathan Daniel Ballintyn|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,11:30 am - 1:20 pm,Class,AAE 33301,010,AAE,Fluid Mechanics Laboratory
28,Upper Division,0.000,38786,Graduate|Professional|Undergraduate,F,Sally Pm Bane,Wilmeth Active Learning Center 1055,Laboratory Preparation,4:30 pm - 5:20 pm,Class,AAE 33301,012,AAE,Fluid Mechanics Laboratory
29,Upper Division,1.000,14928,Graduate|Professional|Undergraduate,W,Wenjie Cai|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,1:30 pm - 3:20 pm,Class,AAE 33301,015,AAE,Fluid Mechanics Laboratory
30,Upper Division,1.000,19021,Graduate|Professional|Undergraduate,W,Wenjie Cai|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,9:30 am - 11:20 am,Class,AAE 33301,016,AAE,Fluid Mechanics Laboratory
31,Upper Division,1.000,19022,Graduate|Professional|Undergraduate,T,Nathan Daniel Ballintyn|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,9:30 am - 11:20 am,Class,AAE 33301,017,AAE,Fluid Mechanics Laboratory
32,Upper Division,1.000,15764,Graduate|Professional|Undergraduate,R,Bang-shiuh Chen|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,1:30 pm - 3:20 pm,Class,AAE 33301,018,AAE,Fluid Mechanics Laboratory
33,Upper Division,1.000,15766,Graduate|Professional|Undergraduate,R,Nathan Daniel Ballintyn|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,9:30 am - 11:20 am,Class,AAE 33301,019,AAE,Fluid Mechanics Laboratory
34,Upper Division,1.000,19906,Graduate|Professional|Undergraduate,W,Prashanth Bangalore venkatesh|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,3:30 pm - 5:20 pm,Class,AAE 33301,020,AAE,Fluid Mechanics Laboratory
35,Upper Division,1.000,14331,Graduate|Professional|Undergraduate,T,Prashanth Bangalore venkatesh|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,7:30 am - 9:20 am,Class,AAE 33301,021,AAE,Fluid Mechanics Laboratory
36,Upper Division,1.000,14333,Graduate|Professional|Undergraduate,T,Bang-shiuh Chen|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,1:30 pm - 3:20 pm,Class,AAE 33301,022,AAE,Fluid Mechanics Laboratory
37,Upper Division,1.000,14334,Graduate|Professional|Undergraduate,T,Nathan Daniel Ballintyn|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,11:30 am - 1:20 pm,Class,AAE 33301,023,AAE,Fluid Mechanics Laboratory
38,Upper Division,3.000,10023,Graduate|Professional|Undergraduate,MWF,John P Sullivan,Wilmeth Active Learning Center B066,Lecture,3:30 pm - 4:20 pm,Class,AAE 33400,001,AAE,Aerodynamics
39,Upper Division,1.000,10026,Graduate|Professional|Undergraduate,T,Prashanth Bangalore venkatesh|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,7:30 am - 9:20 am,Class,AAE 33401,003,AAE,Aerodynamics Laboratory
40,Upper Division,1.000,10028,Graduate|Professional|Undergraduate,R,Bang-shiuh Chen|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,1:30 pm - 3:20 pm,Class,AAE 33401,005,AAE,Aerodynamics Laboratory
41,Upper Division,1.000,10029,Graduate|Professional|Undergraduate,T,Wenjie Cai|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,3:30 pm - 5:20 pm,Class,AAE 33401,006,AAE,Aerodynamics Laboratory
42,Upper Division,0.000,10030,Graduate|Professional|Undergraduate,M,Sally Pm Bane,Neil Armstrong Hall of Engr 1109,Laboratory Preparation,10:30 am - 11:20 am,Class,AAE 33401,007,AAE,Aerodynamics Laboratory
43,Upper Division,1.000,11976,Graduate|Professional|Undergraduate,W,Prashanth Bangalore venkatesh|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,11:30 am - 1:20 pm,Class,AAE 33401,008,AAE,Aerodynamics Laboratory
44,Upper Division,1.000,11982,Graduate|Professional|Undergraduate,R,Wenjie Cai|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,3:30 pm - 5:20 pm,Class,AAE 33401,009,AAE,Aerodynamics Laboratory
45,Upper Division,1.000,11991,Graduate|Professional|Undergraduate,F,Nathan Daniel Ballintyn|Sally Pm Bane,Neil Armstrong Hall of Engr 3098,Laboratory,7:30 am - 9:20 am,Class,AAE 33401,010,AAE,Aerodynamics Laboratory
46,Upper Division,3.000,12052,Graduate|Professional|Undergraduate,TR,Haifeng Wang,Neil Armstrong Hall of Engr B071,Lecture,12:00 pm - 1:15 pm,Class,AAE 33800,001,AAE,Thermal Sciences
47,Upper Division,3.000,14973,Graduate|Professional|Undergraduate,TR,Li Qiao,Wilmeth Active Learning Center 2007,Lecture,10:30 am - 11:45 am,Class,AAE 33900,001,AAE,Aerospace Propulsion
48,Upper Division,3.000,10031,Graduate|Professional|Undergraduate,MWF,James M Longuski,Mechanical Engineering Bldg 1061,Lecture,7:30 am - 8:20 am,Class,AAE 34000,001,AAE,Dynamics And Vibrations
49,Upper Division,3.000,14824,Graduate|Professional|Undergraduate,TR,Ali Khalid Raz,Wilmeth Active Learning Center 2087,Lecture,1:30 pm - 2:45 pm,Class,AAE 35103,001,AAE,Aerospace Systems Design
50,Upper Division,3.000,62157,Graduate|Professional|Undergraduate,MWF,Vikas Tomar,Electrical Engineering Bldg 129,Lecture,8:30 am - 9:20 am,Class,AAE 35200,003,AAE,Structural Analysis I
51,Upper Division,3.000,15811,Graduate|Professional|Undergraduate,MWF,Vikas Tomar,Electrical Engineering Bldg 129,Lecture,9:30 am - 10:20 am,Class,AAE 35200,004,AAE,Structural Analysis I
52,Upper Division,1.000,10033,Graduate|Professional|Undergraduate,T,Ankit Deo|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,9:30 am - 11:20 am,Class,AAE 35201,001,AAE,Structural Analysis I Laboratory
53,Upper Division,1.000,10034,Graduate|Professional|Undergraduate,F,Ankit Deo|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,9:30 am - 11:20 am,Class,AAE 35201,002,AAE,Structural Analysis I Laboratory
