,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
1240,,1.000,39062,Graduate|Professional|Undergraduate,,Shihuan Kuang,,Research,,Class,ANSC 69800,031,ANSC,Research MS Thesis
1241,,1.000,39063,Graduate|Professional|Undergraduate,,Donald C Lay,,Research,,Class,ANSC 69800,032,ANSC,Research MS Thesis
1242,,1.000,39064,Graduate|Professional|Undergraduate,,Jeremy N Marchant-Forde,,Research,,Class,ANSC 69800,033,ANSC,Research MS Thesis
1243,,1.000,39065,Graduate|Professional|Undergraduate,,Xiaoqi Liu,,Research,,Class,ANSC 69800,034,ANSC,Research MS Thesis
1244,,1.000,39066,Graduate|Professional|Undergraduate,,Marisa A Erasmus,,Research,,Class,ANSC 69800,035,ANSC,Research MS Thesis
1245,,1.000,39067,Graduate|Professional|Undergraduate,,Birgit Cabot,,Research,,Class,ANSC 69800,036,ANSC,Research MS Thesis
1246,,1.000,39068,Graduate|Professional|Undergraduate,,Kara Roski Stewart,,Research,,Class,ANSC 69800,039,ANSC,Research MS Thesis
1247,,1.000,39837,Graduate|Professional|Undergraduate,,Jon Schoonmaker,,Research,,Class,ANSC 69800,040,ANSC,Research MS Thesis
1248,,1.000,39069,Graduate|Professional|Undergraduate,,Darrin Michael Karcher,,Research,,Class,ANSC 69800,041,ANSC,Research MS Thesis
1249,,1.000,39070,Graduate|Professional|Undergraduate,,Allan P Schinckel,,Research,,Class,ANSC 69800,042,ANSC,Research MS Thesis
1250,,1.000,39071,Graduate|Professional|Undergraduate,,Candace C Croney,,Research,,Class,ANSC 69800,043,ANSC,Research MS Thesis
1251,,1.000,39072,Graduate|Professional|Undergraduate,,Brianna Nicole Gaskill,,Research,,Class,ANSC 69800,044,ANSC,Research MS Thesis
1252,,1.000,39149,Graduate|Professional|Undergraduate,,Jacquelyn P Boerman,,Research,,Class,ANSC 69800,045,ANSC,Research MS Thesis
1253,,1.000,59510,Graduate|Professional|Undergraduate,,Timothy A Johnson,,Research,,Class,ANSC 69800,046,ANSC,Research MS Thesis
1254,,1.000,11004,Graduate|Professional|Undergraduate,,Brianna Nicole Gaskill,,Research,,Class,ANSC 69900,001,ANSC,Research PhD Thesis
1255,,1.000,11005,Graduate|Professional|Undergraduate,,Shawn S Donkin,,Research,,Class,ANSC 69900,002,ANSC,Research PhD Thesis
1256,,1.000,11006,Graduate|Professional|Undergraduate,,Elizabeth L Karcher,,Research,,Class,ANSC 69900,003,ANSC,Research PhD Thesis
1257,,1.000,11007,Graduate|Professional|Undergraduate,,Zoltan Machaty,,Research,,Class,ANSC 69900,004,ANSC,Research PhD Thesis
1258,,1.000,11008,Graduate|Professional|Undergraduate,,Marisa A Erasmus,,Research,,Class,ANSC 69900,005,ANSC,Research PhD Thesis
1259,,1.000,11009,Graduate|Professional|Undergraduate,,Ryan A Cabot,,Research,,Class,ANSC 69900,006,ANSC,Research PhD Thesis
1260,,1.000,11010,Graduate|Professional|Undergraduate,,Olayiwola Adeola,,Research,,Class,ANSC 69900,007,ANSC,Research PhD Thesis
1261,,1.000,11011,Graduate|Professional|Undergraduate,,Candace C Croney,,Research,,Class,ANSC 69900,008,ANSC,Research PhD Thesis
1262,,1.000,11012,Graduate|Professional|Undergraduate,,Heng-Wei Cheng,,Research,,Class,ANSC 69900,009,ANSC,Research PhD Thesis
1263,,1.000,11013,Graduate|Professional|Undergraduate,,Xiaoqi Liu,,Research,,Class,ANSC 69900,010,ANSC,Research PhD Thesis
1264,,1.000,11014,Graduate|Professional|Undergraduate,,Donald C Lay,,Research,,Class,ANSC 69900,011,ANSC,Research PhD Thesis
1265,,1.000,11015,Graduate|Professional|Undergraduate,,Jeremy N Marchant-Forde,,Research,,Class,ANSC 69900,012,ANSC,Research PhD Thesis
1266,,1.000,11016,Graduate|Professional|Undergraduate,,Birgit Cabot,,Research,,Class,ANSC 69900,013,ANSC,Research PhD Thesis
1267,,1.000,11018,Graduate|Professional|Undergraduate,,Christopher Alan Bidwell,,Research,,Class,ANSC 69900,015,ANSC,Research PhD Thesis
1268,,1.000,11020,Graduate|Professional|Undergraduate,,Brian T Richert,,Research,,Class,ANSC 69900,017,ANSC,Research PhD Thesis
1269,,1.000,39255,Graduate|Professional|Undergraduate,,Terry S Stewart,,Research,,Class,ANSC 69900,028,ANSC,Research PhD Thesis
1270,,1.000,39074,Graduate|Professional|Undergraduate,,Kolapo Matthew Ajuwon,,Research,,Class,ANSC 69900,035,ANSC,Research PhD Thesis
1271,,1.000,39075,Graduate|Professional|Undergraduate,,Allan P Schinckel,,Research,,Class,ANSC 69900,036,ANSC,Research PhD Thesis
1272,,1.000,39077,Graduate|Professional|Undergraduate,,Paul D Ebner,,Research,,Class,ANSC 69900,037,ANSC,Research PhD Thesis
1273,,1.000,39078,Graduate|Professional|Undergraduate,,Susan D Eicher,,Research,,Class,ANSC 69900,038,ANSC,Research PhD Thesis
1274,,1.000,39082,Graduate|Professional|Undergraduate,,Darrin Michael Karcher,,Research,,Class,ANSC 69900,040,ANSC,Research PhD Thesis
1275,,1.000,39083,Graduate|Professional|Undergraduate,,Shihuan Kuang,,Research,,Class,ANSC 69900,041,ANSC,Research PhD Thesis
1276,,1.000,39085,Graduate|Professional|Undergraduate,,Theresa M Anderson,,Research,,Class,ANSC 69900,042,ANSC,Research PhD Thesis
1277,,1.000,39087,Graduate|Professional|Undergraduate,,Ronald P Lemenager,,Research,,Class,ANSC 69900,043,ANSC,Research PhD Thesis
1278,,1.000,39093,Graduate|Professional|Undergraduate,,Stacy M Zuelly,,Research,,Class,ANSC 69900,047,ANSC,Research PhD Thesis
1279,,1.000,39094,Graduate|Professional|Undergraduate,,Timothy A Johnson,,Research,,Class,ANSC 69900,048,ANSC,Research PhD Thesis
1280,,1.000,39095,Graduate|Professional|Undergraduate,,John Scott Radcliffe,,Research,,Class,ANSC 69900,049,ANSC,Research PhD Thesis
1281,,1.000,39096,Graduate|Professional|Undergraduate,,Kara Roski Stewart,,Research,,Class,ANSC 69900,050,ANSC,Research PhD Thesis
1282,,1.000,48308,Graduate|Professional|Undergraduate,,Jon Schoonmaker,,Research,,Class,ANSC 69900,054,ANSC,Research PhD Thesis
1283,,1.000,53725,Graduate|Professional|Undergraduate,,Alan Gerard Mathew,,Research,,Class,ANSC 69900,056,ANSC,Research PhD Thesis
1284,,1.000,59511,Graduate|Professional|Undergraduate,,Jay S Johnson,,Research,,Class,ANSC 69900,057,ANSC,Research PhD Thesis
1285,,1.000,68622,Graduate|Professional|Undergraduate,,Yuan H Kim,,Research,,Class,ANSC 69900,058,ANSC,Research PhD Thesis
1286,,1.000,22989,Graduate|Professional|Undergraduate,,Jacquelyn P Boerman,,Research,,Class,ANSC 69900,059,ANSC,Research PhD Thesis
1287,,1.000,22875,Graduate|Professional|Undergraduate,,Luiz Fernando Brito,,Research,,Class,ANSC 69900,060,ANSC,Research PhD Thesis
1288,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,3.000,11021,Graduate|Professional|Undergraduate,MW,Andrew T Flachs,Mathematical Sciences Building 175,Lecture,8:30 am - 9:20 am,Class,ANTH 10000,001,ANTH,Being Human: Introduction to Anthropology
1289,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11022,Graduate|Professional|Undergraduate,W,Jenail B Marshall,Winthrop E. Stone Hall 215,Recitation,3:30 pm - 4:20 pm,Class,ANTH 10000,002,ANTH,Being Human: Introduction to Anthropology
1290,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11023,Graduate|Professional|Undergraduate,F,Christopher M Stevenson,Winthrop E. Stone Hall 215,Recitation,3:30 pm - 4:20 pm,Class,ANTH 10000,003,ANTH,Being Human: Introduction to Anthropology
1291,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11024,Graduate|Professional|Undergraduate,F,Tara A Capel,Winthrop E. Stone Hall 215,Recitation,8:30 am - 9:20 am,Class,ANTH 10000,004,ANTH,Being Human: Introduction to Anthropology
1292,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11025,Graduate|Professional|Undergraduate,W,Jenail B Marshall,Winthrop E. Stone Hall 154,Recitation,1:30 pm - 2:20 pm,Class,ANTH 10000,005,ANTH,Being Human: Introduction to Anthropology
1293,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11026,Graduate|Professional|Undergraduate,F,Christopher M Stevenson,Winthrop E. Stone Hall 215,Recitation,11:30 am - 12:20 pm,Class,ANTH 10000,006,ANTH,Being Human: Introduction to Anthropology
1294,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11027,Graduate|Professional|Undergraduate,F,Tara A Capel,Winthrop E. Stone Hall 215,Recitation,9:30 am - 10:20 am,Class,ANTH 10000,007,ANTH,Being Human: Introduction to Anthropology
1295,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,11028,Graduate|Professional|Undergraduate,W,Tara A Capel,Winthrop E. Stone Hall 215,Recitation,4:30 pm - 5:20 pm,Class,ANTH 10000,008,ANTH,Being Human: Introduction to Anthropology
1296,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,54507,Graduate|Professional|Undergraduate,F,Christopher M Stevenson,Winthrop E. Stone Hall 215,Recitation,10:30 am - 11:20 am,Class,ANTH 10000,009,ANTH,Being Human: Introduction to Anthropology
1297,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,54511,Graduate|Professional|Undergraduate,W,Jenail B Marshall,Winthrop E. Stone Hall 217,Recitation,9:30 am - 10:20 am,Class,ANTH 10000,010,ANTH,Being Human: Introduction to Anthropology
1298,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,3.000,22787,Graduate|Professional|Undergraduate,TR,Erik R Otarola-Castillo,Mechanical Engineering Bldg 1130,Lecture,10:30 am - 11:45 am,Class,ANTH 20100,001,ANTH,Introduction To Archaeology And World Prehistory
1299,Lower Division|S General Education|GTC-Science|UC-Science,3.000,11043,Graduate|Professional|Undergraduate,TR,Melanie M Beasley,Wetherill Lab of Chemistry 172,Lecture,1:30 pm - 2:20 pm,Class,ANTH 20400,001,ANTH,Human Origins
1300,Lower Division|S General Education|GTC-Science|UC-Science,0.000,11044,Graduate|Professional|Undergraduate,F,Matthew David Pike,Winthrop E. Stone Hall 154,Recitation,12:30 pm - 1:20 pm,Class,ANTH 20400,002,ANTH,Human Origins
1301,Lower Division|S General Education|GTC-Science|UC-Science,0.000,11045,Graduate|Professional|Undergraduate,F,Meredith N Aulds,Winthrop E. Stone Hall 154,Recitation,9:30 am - 10:20 am,Class,ANTH 20400,003,ANTH,Human Origins
1302,Lower Division|S General Education|GTC-Science|UC-Science,0.000,11047,Graduate|Professional|Undergraduate,F,Matthew David Pike,Winthrop E. Stone Hall 154,Recitation,1:30 pm - 2:20 pm,Class,ANTH 20400,005,ANTH,Human Origins
1303,Lower Division|S General Education|GTC-Science|UC-Science,0.000,11871,Graduate|Professional|Undergraduate,F,Meredith N Aulds,Winthrop E. Stone Hall 154,Recitation,8:30 am - 9:20 am,Class,ANTH 20400,006,ANTH,Human Origins
1304,Lower Division|S General Education|GTC-Science|UC-Science,0.000,12566,Graduate|Professional|Undergraduate,F,Meredith N Aulds,Winthrop E. Stone Hall 154,Recitation,10:30 am - 11:20 am,Class,ANTH 20400,007,ANTH,Human Origins
1305,Lower Division|S General Education|GTC-Science|UC-Science,0.000,13161,Graduate|Professional|Undergraduate,F,Matthew David Pike,Winthrop E. Stone Hall 154,Recitation,3:30 pm - 4:20 pm,Class,ANTH 20400,008,ANTH,Human Origins
1306,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48728,Graduate|Professional|Undergraduate,F,Miya Katherine Dunham,Winthrop E. Stone Hall 217,Recitation,12:30 pm - 1:20 pm,Class,ANTH 20500,007,ANTH,Human Cultural Diversity
1307,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48729,Graduate|Professional|Undergraduate,F,Shradha Naveen,Winthrop E. Stone Hall 217,Recitation,3:30 pm - 4:20 pm,Class,ANTH 20500,008,ANTH,Human Cultural Diversity
1308,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48730,Graduate|Professional|Undergraduate,W,Amanda M Waller,Winthrop E. Stone Hall 154,Recitation,4:30 pm - 5:20 pm,Class,ANTH 20500,009,ANTH,Human Cultural Diversity
1309,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48731,Graduate|Professional|Undergraduate,F,Miya Katherine Dunham,Winthrop E. Stone Hall 217,Recitation,2:30 pm - 3:20 pm,Class,ANTH 20500,010,ANTH,Human Cultural Diversity
1310,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48732,Graduate|Professional|Undergraduate,F,Shradha Naveen,Winthrop E. Stone Hall 217,Recitation,8:30 am - 9:20 am,Class,ANTH 20500,011,ANTH,Human Cultural Diversity
1311,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48735,Graduate|Professional|Undergraduate,F,Amanda M Waller,Winthrop E. Stone Hall 217,Recitation,10:30 am - 11:20 am,Class,ANTH 20500,014,ANTH,Human Cultural Diversity
1312,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,48737,Graduate|Professional|Undergraduate,F,Amanda M Waller,Winthrop E. Stone Hall 217,Recitation,9:30 am - 10:20 am,Class,ANTH 20500,016,ANTH,Human Cultural Diversity
1313,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,3.000,48884,Graduate|Professional|Undergraduate,MW,Jennifer L Johnson,Matthews Hall 210,Lecture,3:30 pm - 4:20 pm,Class,ANTH 20500,017,ANTH,Human Cultural Diversity
1314,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,67298,Graduate|Professional|Undergraduate,F,Shradha Naveen,Winthrop E. Stone Hall 215,Recitation,1:30 pm - 2:20 pm,Class,ANTH 20500,019,ANTH,Human Cultural Diversity
1315,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,0.000,12927,Graduate|Professional|Undergraduate,F,Miya Katherine Dunham,Winthrop E. Stone Hall 217,Recitation,11:30 am - 12:20 pm,Class,ANTH 20500,021,ANTH,Human Cultural Diversity
1316,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,3.000,54468,Graduate|Professional|Undergraduate,,Elizabeth Joan Wirtz,,Distance Learning,,Class,ANTH 20500,Y02,ANTH,Human Cultural Diversity
1317,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,3.000,59240,Graduate|Professional|Undergraduate,,Elizabeth Joan Wirtz,,Distance Learning,,Class,ANTH 20500,Y03,ANTH,Human Cultural Diversity
1318,Lower Division|S General Education|GTC-Science|Tech & Society|UC-Science|Tech & Society,3.000,11925,Graduate|Professional|Undergraduate,TR,Risa D Cromer|Kari Anne Guilbault,Wilmeth Active Learning Center 2087,Lecture,3:00 pm - 4:15 pm,Class,ANTH 21000,001,ANTH,Technology And Culture
1319,Lower Division|S General Education|GTC-Science|Tech & Society|UC-Science|Tech & Society,3.000,15355,Graduate|Professional|Undergraduate,TR,Holly O Okonkwo,Beering Hall of Lib Arts & Ed B268,Lecture,10:30 am - 11:20 am,Class,ANTH 21000,002,ANTH,Technology And Culture
1320,Lower Division|S General Education|GTC-Science|Tech & Society|UC-Science|Tech & Society,0.000,15356,Graduate|Professional|Undergraduate,,Holly O Okonkwo,,Distance Learning,,Class,ANTH 21000,003,ANTH,Technology And Culture
1321,Lower Division|S General Education,3.000,15393,Graduate|Professional|Undergraduate,TR,Amanda J Veile,Beering Hall of Lib Arts & Ed B268,Lecture,12:00 pm - 1:15 pm,Class,ANTH 21200,001,ANTH,"Culture, Food And Health"
1322,Lower Division|S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science,3.000,36893,Graduate|Professional|Undergraduate,TR,Elizabeth Joan Wirtz,Mechanical Engineering Bldg 1061,Lecture,12:00 pm - 1:15 pm,Class,ANTH 23000,001,ANTH,Gender Across Cultures
1323,Lower Division|S General Education,3.000,13162,Graduate|Professional|Undergraduate,TR,Stacy M Lindshield,University Hall 001,Lecture,10:30 am - 11:45 am,Class,ANTH 23500,001,ANTH,The Great Apes
1324,Lower Division,3.000,18470,Graduate|Professional|Undergraduate,TR,Ian C Lindsay,Winthrop E. Stone Hall 217,Lecture,1:30 pm - 2:45 pm,Class,ANTH 25400,001,ANTH,"Archaeological Hoaxes, Myths And Frauds"
1325,S General Education|Upper Division,3.000,15171,Graduate|Professional|Undergraduate,MW,Jennifer L Johnson,Winthrop E. Stone Hall 217,Lecture,4:30 pm - 5:45 pm,Class,ANTH 30700,001,ANTH,The Development Of Contemporary Anthropological Theory
1326,S General Education|Upper Division,3.000,15349,Graduate|Professional|Undergraduate,MW,Michele R Buzon,Wilmeth Active Learning Center 3090,Lecture,11:30 am - 12:20 pm,Class,ANTH 31000,001,ANTH,Mortuary Practices Across Cultures
1327,S General Education|Upper Division,0.000,15351,Graduate|Professional|Undergraduate,,,,Distance Learning,,Class,ANTH 31000,002,ANTH,Mortuary Practices Across Cultures
1328,S General Education|Upper Division,3.000,15394,Graduate|Professional|Undergraduate,TR,Erik R Otarola-Castillo,Winthrop E. Stone Hall 215,Lecture,3:00 pm - 4:15 pm,Class,ANTH 31300,001,ANTH,Archaeology Of North America
1329,S General Education|Upper Division,3.000,13164,Graduate|Professional|Undergraduate,MW,Michele R Buzon,Wilmeth Active Learning Center 3090,Lecture,12:30 pm - 1:20 pm,Class,ANTH 33600,001,ANTH,Human Variation
1330,S General Education|Upper Division,0.000,13171,Graduate|Professional|Undergraduate,,,,Distance Learning,,Class,ANTH 33600,002,ANTH,Human Variation
1331,S General Education|Upper Division,3.000,15396,Graduate|Professional|Undergraduate,TR,Sherylyn H Briller,Beering Hall of Lib Arts & Ed B268,Lecture,4:30 pm - 5:45 pm,Class,ANTH 34000,002,ANTH,Global Perspectives On Health
1332,S General Education|Upper Division,3.000,15397,Graduate|Professional|Undergraduate,TR,Risa D Cromer,Neil Armstrong Hall of Engr 1109,Lecture,9:00 am - 10:15 am,Class,ANTH 34000,003,ANTH,Global Perspectives On Health
1333,S General Education|Upper Division,3.000,61635,Graduate|Professional|Undergraduate,TR,Myrdene Anderson,Beering Hall of Lib Arts & Ed 2290,Lecture,3:00 pm - 4:15 pm,Class,ANTH 34100,003,ANTH,Culture And Personality
1334,S General Education|Upper Division,3.000,15321,Graduate|Professional|Undergraduate,MW,Kalliopi M Christodoulaki,Winthrop E. Stone Hall 217,Lecture,2:30 pm - 3:20 pm,Class,ANTH 37300,001,ANTH,Anthropology Of Religion
1335,S General Education|Upper Division,0.000,19975,Graduate|Professional|Undergraduate,,Kalliopi M Christodoulaki,,Distance Learning,,Class,ANTH 37300,002,ANTH,Anthropology Of Religion
1336,S General Education|GTC-Social-Behavioral|UC-Behavior/Social Science|Upper Division,3.000,50866,Graduate|Professional|Undergraduate,TR,Harold Kory Cooper,Krannert Building G016,Lecture,9:00 am - 10:15 am,Class,ANTH 37900,001,ANTH,Native American Cultures
1337,S General Education|Upper Division,3.000,15353,Graduate|Professional|Undergraduate,TR,Holly O Okonkwo,Beering Hall of Lib Arts & Ed B268,Lecture,1:30 pm - 2:45 pm,Class,ANTH 38000,001,ANTH,Using Anthropology In The World
1338,Upper Division,0.000,19881,Graduate|Professional|Undergraduate,M,Abrar Hammoud|Todd R Kelley,Wilmeth Active Learning Center 3122,Laboratory,1:30 pm - 3:20 pm,Class,ANTH 38400,001,ANTH,Designing For People: Anthropological Approaches
1339,Upper Division,3.000,19883,Graduate|Professional|Undergraduate,MW,Abrar Hammoud|Todd R Kelley,Wilmeth Active Learning Center 3122,Lecture,10:30 am - 11:20 am,Class,ANTH 38400,002,ANTH,Designing For People: Anthropological Approaches
1340,Upper Division,0.000,19888,Graduate|Professional|Undergraduate,M,Abrar Hammoud|Todd R Kelley,Wilmeth Active Learning Center 3122,Laboratory,11:30 am - 1:20 pm,Class,ANTH 38400,003,ANTH,Designing For People: Anthropological Approaches
1341,Upper Division,3.000,19891,Graduate|Professional|Undergraduate,MW,Abrar Hammoud|Todd R Kelley,Wilmeth Active Learning Center 3122,Lecture,9:30 am - 10:20 am,Class,ANTH 38400,004,ANTH,Designing For People: Anthropological Approaches
1342,S General Education|Upper Division|Variable Title,0.000,56039,Graduate|Professional|Undergraduate,,Laura C Zanotti,,Individual Study,,Class,ANTH 39000,004,ANTH,Individual Research In Anthropology
1343,S General Education|Upper Division|Variable Title,0.000,60024,Graduate|Professional|Undergraduate,,Michele R Buzon,,Individual Study,,Class,ANTH 39000,005,ANTH,Individual Research In Anthropology
1344,S General Education|Upper Division|Variable Title,0.000,60947,Graduate|Professional|Undergraduate,,,,Individual Study,,Class,ANTH 39000,007,ANTH,Individual Research In Anthropology
1345,S General Education|Upper Division|Variable Title,0.000,61159,Graduate|Professional|Undergraduate,,Harold Kory Cooper,,Individual Study,,Class,ANTH 39000,008,ANTH,Individual Research In Anthropology
1346,S General Education|Upper Division|Variable Title,0.000,18945,Graduate|Professional|Undergraduate,,Erik R Otarola-Castillo,,Individual Study,,Class,ANTH 39000,010,ANTH,Individual Research In Anthropology
1347,S General Education|Upper Division|Variable Title,0.000,18980,Graduate|Professional|Undergraduate,,,,Individual Study,,Class,ANTH 39000,013,ANTH,Individual Research In Anthropology
1348,S General Education|Upper Division|Variable Title,0.000,20759,Graduate|Professional|Undergraduate,,Ian C Lindsay,,Individual Study,,Class,ANTH 39000,016,ANTH,Individual Research In Anthropology
1349,S General Education|Upper Division|Variable Title,2.000,24349,Graduate|Professional|Undergraduate,,Erik R Otarola-Castillo,,Individual Study,,Class,ANTH 39000,017,ANTH,Physics & Archaeology
1350,S General Education|Upper Division|Variable Title,3.000,15401,Graduate|Professional|Undergraduate,TR,Dada Docot,Recitation Building 123,Lecture,4:30 pm - 5:45 pm,Class,ANTH 39200,002,ANTH,"Migration, Borders&Walls"
1351,Upper Division,3.000,15187,Graduate|Professional|Undergraduate,TR,Sherylyn H Briller,Winthrop E. Stone Hall 215,Lecture,1:30 pm - 2:45 pm,Class,ANTH 41001,001,ANTH,Senior Capstone In Anthropology
1352,Upper Division|Variable Title,6.000,22601,Graduate|Professional|Undergraduate,,Laura C Zanotti,,Individual Study,,Class,ANTH 41800,001,ANTH,Field Methods In Cultural Anthropology
1353,Honors|S General Education|Upper Division,3.000,11064,Graduate|Professional|Undergraduate,,Michele R Buzon,,Individual Study,,Class,ANTH 49700,H01,ANTH,Senior Honors Seminar
1354,Honors|S General Education|Upper Division,3.000,16147,Graduate|Professional|Undergraduate,,Jennifer L Johnson,,Individual Study,,Class,ANTH 49700,H02,ANTH,Senior Honors Seminar
1355,Honors|S General Education|Upper Division,3.000,16148,Graduate|Professional|Undergraduate,,Sarah E Huber,,Individual Study,,Class,ANTH 49700,H03,ANTH,Senior Honors Seminar
1356,Honors|S General Education|Upper Division,3.000,16149,Graduate|Professional|Undergraduate,,Erik R Otarola-Castillo,,Individual Study,,Class,ANTH 49700,H04,ANTH,Senior Honors Seminar
1357,Honors|S General Education|Upper Division,3.000,18542,Graduate|Professional|Undergraduate,,Amanda J Veile,,Individual Study,,Class,ANTH 49700,H05,ANTH,Senior Honors Seminar
1358,Honors|S General Education|Upper Division,3.000,11065,Graduate|Professional|Undergraduate,,Michele R Buzon,,Individual Study,,Class,ANTH 49800,H01,ANTH,Senior Honors Paper
1359,Honors|S General Education|Upper Division,3.000,59808,Graduate|Professional|Undergraduate,,Sherylyn H Briller,,Individual Study,,Class,ANTH 49800,H02,ANTH,Senior Honors Paper
1360,S General Education|Upper Division,3.000,51276,Graduate|Professional|Undergraduate,TR,Ian C Lindsay,Winthrop E. Stone Hall 154,Lecture,4:30 pm - 5:45 pm,Class,ANTH 50700,001,ANTH,Theory In Sociocultural Anthropology
1361,Upper Division,3.000,15191,Graduate|Professional|Undergraduate,TR,Myrdene Anderson,Winthrop E. Stone Hall 154,Lecture,12:00 pm - 1:15 pm,Class,ANTH 51400,001,ANTH,Anthropological Linguistics
1362,S General Education|Upper Division,3.000,61631,Graduate|Professional|Undergraduate,MWF,Michele R Buzon,Winthrop E. Stone Hall 154,Lecture,2:30 pm - 3:20 pm,Class,ANTH 53400,001,ANTH,Human Osteology
1363,S General Education|Upper Division,3.000,15400,Graduate|Professional|Undergraduate,TR,Amanda J Veile,Winthrop E. Stone Hall 154,Lecture,9:00 am - 10:15 am,Class,ANTH 53500,001,ANTH,Foundations Of Biological Anthropology
1364,Upper Division,3.000,16621,Graduate|Professional|Undergraduate,T,Harold Kory Cooper|Carol A Handwerker,Winthrop E. Stone Hall 154,Lecture,1:30 pm - 3:20 pm,Class,ANTH 58900,004,ANTH,Archaeology And Materials Science
1365,Upper Division,0.000,19252,Graduate|Professional|Undergraduate,R,Harold Kory Cooper|Carol A Handwerker,Winthrop E. Stone Hall 154,Laboratory,1:30 pm - 3:20 pm,Class,ANTH 58900,005,ANTH,Archaeology And Materials Science
1366,Upper Division|Variable Title,0.000,11075,Graduate|Professional|Undergraduate,,Ellen R Gruenbaum,,Individual Study,,Class,ANTH 59000,002,ANTH,Individual Research Problems
1367,Upper Division|Variable Title,1.000,23409,Graduate|Professional|Undergraduate,,Sherylyn H Briller,,Individual Study,,Class,ANTH 59000,003,ANTH,Explorations In Business Anthr
1368,Upper Division|Variable Title,3.000,23879,Graduate|Professional|Undergraduate,,Amanda J Veile,,Individual Study,,Class,ANTH 59000,004,ANTH,Human Reproductive Biology
1369,S General Education|Upper Division|Variable Title,3.000,19990,Graduate|Professional|Undergraduate,TR,Ningning Nicole Kong,Wilmeth Active Learning Center 3045,Lecture,10:30 am - 11:45 am,Class,ANTH 59200,001,ANTH,GIS Humanities & Soc Sci Res
1370,S General Education|Upper Division|Variable Title,1.000,21709,Graduate|Professional|Undergraduate,M,Melissa J Remis,Winthrop E. Stone Hall 215,Lecture,9:30 am - 10:20 am,Class,ANTH 59200,002,ANTH,Anthropology Proseminar
1371,,3.000,56239,Graduate|Professional|Undergraduate,W,Laura C Zanotti,Winthrop E. Stone Hall 217,Lecture,10:30 am - 1:20 pm,Class,ANTH 60500,001,ANTH,Seminar In Ethnographic Analysis
1372,,3.000,15202,Graduate|Professional|Undergraduate,M,Zoe Nyssa,Winthrop E. Stone Hall 154,Lecture,11:30 am - 2:20 pm,Class,ANTH 64000,001,ANTH,Foundations And Frameworks: Applying Anthropology
1373,,3.000,16313,Graduate|Professional|Undergraduate,M,Andrew T Flachs,Wilmeth Active Learning Center 2051,Lecture,11:30 am - 2:20 pm,Class,ANTH 64200,001,ANTH,Public Engagement: Using Anthropological Knowledge
1374,,1.000,21163,Graduate|Professional|Undergraduate,,Jennifer L Johnson,,Research,,Class,ANTH 69600,001,ANTH,Research MS
1375,,1.000,21205,Graduate|Professional|Undergraduate,,Erik R Otarola-Castillo,,Research,,Class,ANTH 69600,002,ANTH,Research MS
1376,,1.000,24094,Graduate|Professional|Undergraduate,,Sherylyn H Briller,,Research,,Class,ANTH 69600,003,ANTH,Research MS
1377,,1.000,22062,Graduate|Professional|Undergraduate,,Ian C Lindsay,,Research,,Class,ANTH 69600,004,ANTH,Research MS
1378,,1.000,23743,Graduate|Professional|Undergraduate,,Michele R Buzon,,Research,,Class,ANTH 69600,005,ANTH,Research MS
1379,,1.000,11082,Graduate|Professional|Undergraduate,,,,Research,,Class,ANTH 69800,001,ANTH,Research MS Thesis
